STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/26/15,,,,,,,,,0,"T,,N",0,"T,,N",22,",,N",,,,,,,,,,,,,1.2,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/8/16,,,,,,,,,0,",,N",0,",,N",0,"T,,N",,,,,,,,,,,,,0,"T,,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/9/16,,,,,,,,,0.01,",,N",0,"T,,N",0,"T,,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/10/16,,,,,,,,,0.16,",,N",5,",,N",5,",,N",,,,,,,,,,,,,0.2,",,N",0.2,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/8/16,,,,,,,,,0.02,",,N",0,"T,,N",0.5,",,N",,,,,,,,,,,,,0,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/9/16,,,,,,,,,0.45,",,N",4,",,N",4.5,",,N",,,,,,,,,,,,,0.4,",,N",0.4,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/10/16,,,,,,,,,0.1,",,N",2,",,N",5,",,N",,,,,,,,,,,,,0.6,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/11/16,,,,,,,,,0.21,",,N",4,",,N",6.5,",,N",,,,,,,,,,,,,0.6,",,N",0.2,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/12/16,,,,,,,,,0.65,",,N",7.5,",,N",13.5,",,N",,,,,,,,,,,,,0.9,",,N",0.6,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/13/16,,,,,,,,,0.05,",,N",1,",,N",14.5,",,N",,,,,,,,,,,,,0.9,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/14/16,,,,,,,,,0,"T,,N",0,"T,,N",14,",,N",,,,,,,,,,,,,0.8,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/15/16,,,,,,,,,0.02,",,N",0.5,",,N",14,",,N",,,,,,,,,,,,,0.8,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/16/16,,,,,,,,,0.04,",,N",1,",,N",13,",,N",,,,,,,,,,,,,0.8,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/17/16,,,,,,,,,0.19,",,N",3,",,N",15,",,N",,,,,,,,,,,,,1,",,N",0.2,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/18/16,,,,,,,,,0.07,",,N",1.5,",,N",15,",,N",,,,,,,,,,,,,1.1,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/19/16,,,,,,,,,0.04,",,N",1.5,",,N",14,",,N",,,,,,,,,,,,,1,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/20/16,,,,,,,,,0,",,N",0,",,N",12,",,N",,,,,,,,,,,,,0.9,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,12/21/16,,,,,,,,,0,",,N",0,",,N",10,",,N",,,,,,,,,,,,,0.8,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/16/17,,,,,,,,,0,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/17/17,,,,,,,,,1.07,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/18/17,,,,,,,,,0.1,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/19/17,,,,,,,,,0,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/20/17,,,,,,,,,0.25,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/21/17,,,,,,,,,0.2,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/22/17,,,,,,,,,0.01,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/23/17,,,,,,,,,0,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/24/17,,,,,,,,,0,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/25/17,,,,,,,,,0.05,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/12/18,,,,,,,,,0.33,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/13/18,,,,,,,,,0,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/14/18,,,,,,,,,0.54,",,N",0,",,N",0,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/15/18,,,,,,,,,0.63,",,N",0.1,",,N",0.1,",,N",,,,,,,,,,,,,0.1,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/16/18,,,,,,,,,0.52,",,N",1.3,",,N",1,",,N",,,,,,,,,,,,,0.5,",,N",0.3,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/17/18,,,,,,,,,0.13,",,N",1,",,N",2,",,N",,,,,,,,,,,,,0.6,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,4/18/18,,,,,,,,,0.01,",,N",0.1,",,N",0,"T,,N",,,,,,,,,,,,,0,"T,,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/21/19,,,,,,,,,0,",,N",0,",,N",3,",,N",,,,,,,,,,,,,0.3,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/22/19,,,,,,,,,0,",,N",0,",,N",2.5,",,N",,,,,,,,,,,,,0.3,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/23/19,,,,,,,,,0.3,",,N",2.2,",,N",1.5,",,N",,,,,,,,,,,,,0.1,",,N",0.2,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/21/21,,,,,,,,,0,",,N",0,",,N",2.5,",,N",,,,,,,,,,,,,0.1,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/22/21,,,,,,,,,0,"T,,N",0,"T,,N",0.5,",,N",,,,,,,,,,,,,0.1,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/23/21,,,,,,,,,0.01,",,N",0.1,",,N",0.2,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/24/21,,,,,,,,,0,",,N",0,",,N",0.1,",,N",,,,,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/25/21,,,,,,,,,0.06,",,N",1.3,",,N",0.7,",,N",,,,,,,,,,,,,0,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/26/21,,,,,,,,,0.08,",,N",1,",,N",2,",,N",,,,,,,,,,,,,0.1,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/27/21,,,,,,,,,0.29,",,N",3.2,",,N",7,",,N",,,,,,,,,,,,,0.4,",,N",0.3,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/28/21,,,,,,,,,0,",,N",0,",,N",6.6,",,N",,,,,,,,,,,,,0.4,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/29/21,,,,,,,,,0,"T,,N",0,"T,,N",5.5,",,N",,,,,,,,,,,,,0.4,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/30/21,,,,,,,,,0,",,N",0,",,N",3,",,N",,,,,,,,,,,,,0.3,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,1/31/21,,,,,,,,,0.13,",,N",2.5,",,N",4.5,",,N",,,,,,,,,,,,,0.4,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/1/21,,,,,,,,,0,"T,,N",0,"T,,N",4,",,N",,,,,,,,,,,,,0.4,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/2/21,,,,,,,,,0,",,N",0,",,N",3.8,",,N",,,,,,,,,,,,,0.4,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/3/21,,,,,,,,,0,",,N",0,",,N",3,",,N",,,,,,,,,,,,,0.3,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/4/21,,,,,,,,,0,",,N",0,",,N",3,",,N",,,,,,,,,,,,,0.3,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/5/21,,,,,,,,,0.25,",,N",4.2,",,N",7,",,N",,,,,,,,,,,,,0.5,",,N",0.3,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/6/21,,,,,,,,,0.3,",,N",4.3,",,N",10.5,",,N",,,,,,,,,,,,,0.9,",,N",0.3,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/7/21,,,,,,,,,0.27,",,N",7,",,N",17,",,N",,,,,,,,,,,,,1.1,",,N",0.3,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/8/21,,,,,,,,,0.05,",,N",1.5,",,N",17.5,",,N",,,,,,,,,,,,,1.1,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/9/21,,,,,,,,,0.04,",,N",3.5,",,N",18.5,",,N",,,,,,,,,,,,,1.2,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/10/21,,,,,,,,,0.06,",,N",1.5,",,N",18.5,",,N",,,,,,,,,,,,,1.3,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/11/21,,,,,,,,,0.01,",,N",0.1,",,N",17.5,",,N",,,,,,,,,,,,,1.2,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
